,cangdan,cangdan_huanbi,member_oi,jicha_mom,kucun_tongbi,kucun_shuiwei,kucun_huanbi_week,kucun_huanbi_month,kucun_huanbi_diff_week,kucun_huanbi_diff_month,rtn_skew,ret_skew,rtn_kurt,rv_umd,rtn_skew_std,ERR,ew_signal_5
2019-10-28,1.45607888139998,1.09816867237002,1.26328741588,0.837969348659975,1.35819070574003,1.28471438370001,1.20978700859001,1.20978700859001,0.958846204149986,0.879573871179984,0.999535875909939,1.22308893869997,0.947407191144935,1.23713462977002,1.04241391577999,1.40739636308004,1.380798126770007
2019-10-29,1.45566827692499,1.09585045366502,1.26159509955,0.838988473954975,1.35615996506003,1.27998868370001,1.20961674048501,1.20961674048501,0.959309341964986,0.879575443294983,0.997210523559939,1.22087034847997,0.945327507834935,1.23695977076002,1.04107914592999,1.40749248070504,1.377862100565007
2019-10-30,1.45589764017499,1.09289341280002,1.25920762434,0.837870222329977,1.35248201123003,1.27942778370001,1.20578317000501,1.20578317000501,0.956668784524987,0.875534749389983,0.997990583134939,1.22203750327997,0.944478327549935,1.23952000807002,1.04171503563999,1.41094388170504,1.375429954000008
2019-10-31,1.45827842571999,1.09301830000503,1.26021568866,0.837944755164977,1.35372257693503,1.27845696982001,1.20498907257001,1.20498907257001,0.956867944864987,0.874465821264983,0.997010353569939,1.21885854492997,0.944772506004935,1.24137918573502,1.04127586895999,1.41263997981504,1.375085106040008
2019-11-01,1.45997184962999,1.09135707840503,1.26420675312,0.838354326684977,1.35445558106503,1.28140591596001,1.20596216429501,1.20596216429501,0.954247183059988,0.875385990539983,0.998752053774938,1.22102176785997,0.945964741819935,1.24262868400502,1.04167861165999,1.41396584834005,1.377668050890009
2019-11-04,1.45737324140499,1.09358399132003,1.26170739884,0.837596929864976,1.35287049627503,1.28281368181001,1.20648593815501,1.20648593815501,0.955955898919987,0.875151300659983,1.00029736150494,1.22233915587997,0.943643563889933,1.24085068358002,1.04182049935999,1.41336589362004,1.377563549750008
2019-11-05,1.45738533838999,1.09273746954003,1.25687251369,0.836400082594975,1.35155351067503,1.28270680358001,1.20110689072001,1.20110689072001,0.958808736209988,0.869636369299982,0.999543537789938,1.22069117451997,0.943159599539933,1.24319270708502,1.04507871671499,1.41469301973004,1.375122368355009
2019-11-06,1.45896243062999,1.08959089161003,1.26126994325,0.834631733309975,1.35266452066503,1.28422619915001,1.20363521581001,1.20363521581001,0.957935317164989,0.871794781949982,0.99761346763494,1.22185801899997,0.945523635934933,1.24444596764002,1.04877169581499,1.41707879243004,1.378061487980008
2019-11-07,1.45672355300499,1.08992265927002,1.26069336423,0.837454952929976,1.35576885898003,1.28416758803001,1.20202795139501,1.20202795139501,0.955474354424989,0.869548135764983,0.99868653231994,1.22425696865997,0.946292194534933,1.24308277048002,1.04640456598499,1.41718393888004,1.37806616855001
2019-11-08,1.45975408076998,1.09110599536002,1.26030338838,0.837541329174974,1.35838389037003,1.29111301029001,1.20375900751501,1.20375900751501,0.956357735844989,0.868895400854982,0.994317974459939,1.22507539463997,0.948704642799932,1.24338434433502,1.04667834694499,1.41920846330004,1.380225406345009
2019-11-11,1.46149305287999,1.09136667647002,1.2617326248,0.831287902829973,1.35529723929003,1.29510432735001,1.20419551586001,1.20419551586001,0.958227218194989,0.870981668964983,0.99042178673994,1.23214899537997,0.952702807044932,1.24700646898002,1.05089928823499,1.42228493428504,1.382506824670008
